gain,alpha
21.75,-3.892500304105966
22.0,-3.890643095160361
22.13087996511887,-3.8896890265524435
22.25,-3.8888313262483805
22.5,-3.8870635033902596
22.75,-3.8853381840363426
22.92570865003086,-3.884150251876134
23.0,-3.8836539764158386
23.25,-3.8820095386326
23.5,-3.8804035775684493
23.749083540035222,-3.8788405318358925
23.75,-3.8788348476433714
24.0,-3.8773021494724396
24.25,-3.8758043284519132
24.5,-3.8743402733005174
24.60202986967699,-3.87375221811681
24.75,-3.87290891457694
25.0,-3.8715092231902815
25.25,-3.8701402089168266
25.48560969471337,-3.8688772201251425
25.5,-3.8688009189335553
25.75,-3.867490436376665
26.0,-3.8662078789312595
26.25,-3.864952397457016
26.400923214544328,-3.8642072342422544
26.5,-3.8637231746532326
26.75,-3.862519423765657
27.0,-3.8613403873367083
27.25,-3.860185335999948
27.349110142138347,-3.85973390974178
27.5,-3.8590535673191777
27.75,-3.8579444046720646
28.0,-3.8568571961778835
28.25,-3.855791313668626
28.331351123159017,-3.8554489677556774
28.5,-3.854746151702635
28.75,-3.853721126619627
29.0,-3.8527156756359657
29.25,-3.8517292559788867
29.348869206059135,-3.8513442853717317
29.5,-3.850761344058367
29.75,-3.8498114346752366
30.0,-3.8488790402642326
30.25,-3.8479636901705314
30.402931364973384,-3.847411953811906
30.5,-3.8470649299584645
30.75,-3.8461823207510215
31.0,-3.787357590667028
31.25,-3.750000000000006
31.494850077305596,-3.72420508795413
31.5,-3.7237232027188902
31.75,-3.70236626732517
32.0,-3.6839943820237044
32.25,-3.6676937949686024
32.5,-3.6529450974169375
32.625984957974616,-3.6459917677358242
32.75,-3.639418699079207
33.0,-3.626889462665335
33.25,-3.6151952198516732
33.5,-3.6042143777485802
33.75,-3.5938528557945517
33.79774445235427,-3.591938003079846
34.0,-3.584035995605603
34.25,-3.5747033059377906
34.5,-3.5658049136279057
34.75,-3.5572990876148163
35.0,-3.5491504634597653
35.01158759001516,-3.5487809150871676
35.25,-3.5413287398019095
35.5,-3.5338077015170493
35.75,-3.52656447445229
36.0,-3.519578947754588
36.25,-3.512833319741765
36.26902580145156,-3.512329318309764
36.5,-3.5063117363521012
36.75,-3.500000000000001
37.0,-3.4938853326935644
37.25,-3.4879561814808513
37.5,-3.482202057281798
37.57162480005632,-3.480584397018013
37.75,-3.476613400319647
38.0,-3.471181466942838
38.25,-3.4658982337959214
38.5,-3.4607563161742174
38.75,-3.4557488980592854
38.92100653168667,-3.4523978900632826
39.0,-3.4508696718405725
39.25,-3.4461127861203114
39.5,-3.441472800304626
39.75,-3.436944644923598
40.0,-3.4325235868135584
40.31885119424821,-3.4270333661616466
41.76689932981242,-3.403982514188198
43.2669539918724,-3.3828755145645806
44.82088299043506,-3.363432441713744
46.43062121774596,-3.345434778753617
48.09817305754238,-3.328707686398152
49.82561488083413,-3.3131084243807134
51.61509763132045,-3.29851848883907
53.468849503662064,-3.2848380962370527
55.38917871794257,-3.27198220533875
57.378476393774946,-3.259877579764412
59.4392195276313,-3.248460574032043
61.57397407710267,-3.2376754347056376
63.78539815593027,-3.2274729760197087
66.07624534378603,-3.2178095328197567
68.44936811492303,-3.208646122278787
70.90772138996631,-3.199947765130837
73.45436621526574,-3.191682930421441
76.09247357439216,-3.183823077063397
78.82532833652353,-3.176342272103332
81.65633334663715,-3.169216870391033
84.58901366260011,-3.1624252438550293
87.62702094443499,-3.155947551196884
90.77413800122604,-3.1497655407782386
94.03428350132597,-3.143862380966039
97.41151685173047,-3.1382225133461854
100.91004325269496,-3.1328315251036325
104.53421893388644,-3.1276760375609047
108.28855657859256,-3.1227436084142393
112.17773094274072,-3.1180226456414926
116.20658467572201,-3.113502331403603
120.3801343502716,-3.1091725545420204
124.70357670891084,-3.1050238505015293
129.1822951347298,-3.101047347693577
133.8218663545673,-3.097234719466999
138.62806738293648,-3.093578140978855
143.60688271533795,-3.0900702503617477
148.7645117799231,-3.086704113670851
154.10737665678187,-3.0834731931663115
159.64213007446816,-3.0803713185476225
165.3756636937198,-3.077392660807928
171.31511668868887,-3.074531708419988
177.46788463636338,-3.0717832456023477
183.84162872525442,-3.0691423324461633
190.44428529481158,-3.066604286709967
197.2840757174454,-3.0641646671132263
204.36951663546193,-3.0618192579793906
211.70943056565758,-3.0595640550966574
219.31295688477312,-3.0573952526796804
227.18956320949357,-3.055309231328493
235.34905718515762,-3.0533025468925064
243.801598697858,-3.051371920157216
252.55771252513784,-3.04951422728019
261.62830144103856,-3.047726490910449
271.0246597918088,-3.0460058719322856
280.7584875591895,-3.0443496617803625
290.8419049287777,-3.0427552752783917
301.28746738161243,-3.041220243958225
312.1081813277735,-3.0397422098204676
323.3175203014619,-3.03831891950136
334.9294417377199,-3.0369482188139987
346.9584043516911,-3.0356280476348942
359.4193861420524,-3.034356435109534
372.3279030410382,-3.0331314951529134
385.7000282342779,-3.031951422223235
399.5524121745079,-3.030814487348704
413.90230331406576,-3.0297190343892804
428.76756958199906,-3.028663476516615
444.16672063251815,-3.027646292896844
460.1189308925009,-3.0266660255622786
476.64406343674636,-3.0257212764589743
493.76269472071044,-3.0248107046584707
511.49614020150585,-3.0239330237225603
529.8664808790885,-3.023086999211292
548.8965907906629,-3.022271446324631
568.6101654925477,-3.0214852276694675
589.0317515649648,-3.0207272511438426
610.186777176495,-3.0199964679311453
632.1015837462423,-3.0192918705974963
654.8034587431553,-3.018612491285955
678.3206696633245,-3.0179574000017286
702.6824992275754,-3.017325702983002
727.9192818431776,-3.0167165411522348
754.0624413750804,-3.0161290886433125
781.1445302736843,-3.0155625514001594
809.1992701078983,-3.0150161658426597
838.2615935539308,-3.0144891975962103
868.367687892106,-3.0139809402812823
899.5550400658631,-3.013490714359588
931.8624833590545,-3.0130178660339704
965.330245749637,-3.0125617661988566
1000.0,-3.012121809438783
