time,fast_time,norm_witness
1.122018454301963e-05,0.000112201845430196300,1.0000198034226344
1.2771737975811435e-05,0.0001277173797581143500,1.0000225419171886
1.4537843856076636e-05,0.0001453784385607663600,1.0000256591063013
1.6548170999431813e-05,0.0001654817099943181300,1.0000292073594335
1.883649089489802e-05,0.000188364908948980200,1.0000332462886143
2.1441245032200713e-05,0.0002144124503220071300,1.0000378437501907
2.4406190680419814e-05,0.0002440619068041981400,1.0000430769851751
2.778113596642539e-05,0.000277811359664253900,1.0000490339173727
3.1622776601683795e-05,0.0003162277660168379500,1.000055814631127
3.5995648313608984e-05,0.0003599564831360898400,1.0000635330535688
4.0973210981354134e-05,0.0004097321098135413400,1.0000723188696716
4.663908268844408e-05,0.000466390826884440800,1.000082319702387
5.30884444230989e-05,0.00053088444423098900,1.000093703594562
6.042963902381328e-05,0.000604296390238132800,1.000106661834488
6.878599123088081e-05,0.000687859912308808100,1.0001214121727
7.82978794189102e-05,0.00078297879418910200,1.0001382024842933
8.912509381337459e-05,0.000891250938133745900,1.0001573149385627
0.00010144952080687374,0.001014495208068737400,1.0001790707463716
0.00011547819846894582,0.001154781984689458200,1.0002038355654614
0.00013144679457894232,0.001314467945789423200,1.0002320256551172
0.00014962356560944327,0.001496235656094432700,1.0002641148843205
0.00017031386316718777,0.001703138631671877700,1.0003006427121142
0.00019386526359522097,0.001938652635952209700,1.0003422232754673
0.00022067340690845897,0.002206734069084589700,1.0003895557388829
0.0002511886431509582,0.00251188643150958200,1.0004434360816032
0.00028592359782705055,0.002859235978270505500,1.0005047705229382
0.000325461783498046,0.0032546178349804600,1.000574590814392
0.00037046740221071615,0.003704674022107161500,1.000654071659408
0.00042169650342858224,0.004216965034285822400,1.0007445505582409
0.000480009684908112,0.0048000968490811200,1.0008475504172913
0.000546386549881854,0.0054638654988185400,1.0009648053099685
0.0006219421634147764,0.00621942163414776400,1.0010982898305116
0.0007079457843841388,0.00707945784384138800,1.001250252544049
0.0008058421877614818,0.00805842187761481800,1.0014232541064194
0.0009172759353897803,0.00917275935389780300,1.0016202107068402
0.001044119002980564,0.0104411900298056400,1.0018444435762193
0.001188502227437019,0.0118850222743701900,1.0020997354046004
